prompt_idx,concept_id,template,prompt,min,max,mean,std,p05,p95,flagged_dead
0,asymmetry,t1,Dermoscopy of melanoma showing an asymmetric pigmented lesion,0.29935774207115173,0.5098456144332886,0.43332454562187195,0.02127951569855213,0.39834608882665634,0.46622766107320784,False
1,asymmetry,t2,Dermoscopic image of melanoma demonstrating asymmetric shape along both axes,0.304146945476532,0.505145788192749,0.4391300678253174,0.021524187177419662,0.4026308566331863,0.4707647994160652,False
2,asymmetry,t3,Asymmetric outline of a pigmented lesion in dermoscopy of melanoma,0.29152780771255493,0.5115692615509033,0.449295312166214,0.021350299939513206,0.4115529403090477,0.4798279911279678,False
3,border_irregularity,t1,Dermoscopy of melanoma showing irregular and jagged lesion borders,0.286973774433136,0.49410152435302734,0.4309992790222168,0.018060922622680664,0.40078053176403045,0.45889202654361727,False
4,border_irregularity,t2,Dermoscopic image of melanoma demonstrating notched and ill-defined borders,0.31935763359069824,0.503844678401947,0.4510657489299774,0.016972966492176056,0.42217413038015367,0.47532345056533815,False
5,border_irregularity,t3,Irregular notched borders of a pigmented lesion in dermoscopy of melanoma,0.3161325454711914,0.5149555206298828,0.4562920033931732,0.017654091119766235,0.42528608739376067,0.4799583271145821,False
6,colour_variation,t1,Dermoscopy of melanoma showing variegated pigmentation with multiple colours,0.2631703317165375,0.48757946491241455,0.41907504200935364,0.02292528934776783,0.379507252573967,0.4532511249184608,False
7,colour_variation,t2,"Dermoscopic image of melanoma demonstrating brown, black, and red colour variation",0.2994052767753601,0.5135532021522522,0.44514593482017517,0.019765812903642654,0.4118450731039047,0.47411386966705316,False
8,colour_variation,t3,Multi-coloured variegated pigmentation in dermoscopy of melanoma,0.26909536123275757,0.4894287884235382,0.425432950258255,0.02167469449341297,0.3879075899720192,0.45635216534137724,False
9,diameter_large,t1,Dermoscopy of melanoma showing a large pigmented lesion greater than six millimetres,0.2722291052341461,0.5141388177871704,0.4306776523590088,0.02274034358561039,0.39125851839780806,0.46462522000074385,False
10,diameter_large,t2,Dermoscopic image of melanoma demonstrating a broad pigmented surface,0.28845900297164917,0.5144948959350586,0.43360579013824463,0.021759312599897385,0.3971738636493683,0.46603479385375973,False
11,diameter_large,t3,A large pigmented lesion in dermoscopy of melanoma,0.25726449489593506,0.4974089562892914,0.41413185000419617,0.0232594832777977,0.3746493697166443,0.44952712059020994,False
12,atypical_pigment_network,t1,Dermoscopy of melanoma showing an atypical pigment network,0.2906104326248169,0.48834532499313354,0.4344380795955658,0.018039915710687637,0.4033144250512123,0.45848720669746396,False
13,atypical_pigment_network,t2,Dermoscopic image of melanoma demonstrating an irregular broadened pigment network,0.27789950370788574,0.5167306065559387,0.44839176535606384,0.022433947771787643,0.4082664489746094,0.47724139243364333,False
14,atypical_pigment_network,t3,An atypical pigment network with thickened lines in dermoscopy of melanoma,0.2770422101020813,0.4893435835838318,0.4369753301143646,0.018711596727371216,0.40472943484783175,0.4615761190652847,False
15,blue_white_veil,t1,Dermoscopy of melanoma showing a blue-white veil,0.3208351135253906,0.5176023244857788,0.4498092234134674,0.018728887662291527,0.41836213022470475,0.4778177320957184,False
16,blue_white_veil,t2,Dermoscopic image of melanoma demonstrating a confluent blue-whitish structureless area,0.28792738914489746,0.5158869028091431,0.4479319155216217,0.021621301770210266,0.4090202167630196,0.4776782482862473,False
